iter	RMSE
312	0.696442247
313	0.6962351322
314	0.6960804748
315	0.6958162033
316	0.6956229878
317	0.695417478
318	0.6953046114
319	0.6951291191
320	0.6949085203
321	0.6946853679
322	0.6945379347
323	0.6943291033
324	0.6941643142
325	0.6939943967
326	0.6938446351
327	0.6936302684
328	0.6935056815
329	0.6932855286
330	0.6930647188
331	0.6928116778
332	0.6926843119
333	0.6925283209
334	0.6923837429
335	0.6922528186
336	0.6921079949
337	0.6919503685
338	0.6918519691
339	0.6917295795
340	0.6914728016
341	0.6913655061
342	0.6911939822
343	0.6910898228
344	0.6909022351
345	0.690646375
346	0.6904433207
347	0.690300098
348	0.6901667503
349	0.689975043
350	0.6898015925
351	0.6895527121
352	0.6893350038
353	0.6891928259
354	0.688977319
355	0.6888487717
356	0.6886728396
357	0.6885298631
358	0.6882973359
359	0.6881803452
360	0.6879871853
361	0.6878395232
362	0.6877044677
363	0.6875720133
364	0.6874058411
365	0.6872184793
366	0.6870535482
367	0.6869060882
368	0.6867136365
369	0.6865927489
370	0.6864472764
371	0.6863224053
372	0.6861774685
373	0.6859321611
374	0.6857220618
375	0.6854929036
376	0.6853083438
377	0.6851410049
378	0.6849325877
379	0.6847944158
380	0.6846287106
381	0.6844191862
382	0.6842372388
383	0.6841114647
384	0.683956969
385	0.6838644167
386	0.6837324562
387	0.6834938677
388	0.6833273231
389	0.6831244997
390	0.6829222595
391	0.6827054884
392	0.6825103975
393	0.6823699224
394	0.6822305157
395	0.6820972847
396	0.6818753819
397	0.6815841593
398	0.6814386923
399	0.68122747
400	0.6810708623
401	0.6808612949
402	0.6806693579
403	0.6805371844
404	0.6803183375
405	0.6801773857
406	0.6800485392
407	0.6798744953
408	0.6797456632
409	0.679672246
410	0.6795078786
411	0.6793784259
412	0.6792799784
413	0.6792084758
414	0.6790224476
415	0.6788001391
416	0.6786417242
417	0.678541107
418	0.6783156414
419	0.6781427609
420	0.6779713968
421	0.6778224892
422	0.6776778239
423	0.677523735
424	0.6774058447
425	0.6772104288
426	0.6771176273
427	0.6769528079
428	0.6767641876
429	0.6765937012
430	0.6764584937
431	0.6763340646
432	0.6761463067
433	0.675927194
434	0.6757656489
435	0.6756447538
436	0.6754993812
437	0.6753530616
438	0.6752198716
439	0.6750377594
440	0.6748535238
441	0.6746996824
442	0.6746152212
443	0.6744049026
444	0.6743247008
445	0.6741517143
446	0.6740037739
447	0.6738802924
448	0.6737825634
449	0.6736555138
450	0.6735276187
451	0.6733912397
452	0.6731651373
453	0.6729744154
454	0.6727360035
455	0.6725572602
456	0.6723949296
457	0.6722467237
458	0.6721714704
459	0.6720181291
460	0.6718860464
461	0.6717843689
462	0.6716676036
463	0.6714963565
464	0.6713935775
465	0.671252546
466	0.6710695754
467	0.6709695207
468	0.670959381
469	0.6708285698
470	0.6706973448
471	0.6705800263
472	0.6704254227
473	0.6702984167
474	0.6701728924
475	0.6699614708
476	0.6698395282
477	0.6697254131
478	0.6695474704
479	0.6693547694
480	0.669150508
481	0.6690281986
482	0.6688681506
483	0.6686625965
484	0.6685523705
485	0.6684028986
486	0.668297793
487	0.6681305055
488	0.6679252849
489	0.6677575385
490	0.6675173121
491	0.6673665353
492	0.6673018296
493	0.6671665688
494	0.6670215201
495	0.6668945493
496	0.6666985181
497	0.6665727798
498	0.6664506079
499	0.6663094095
500	0.6661416471
501	0.665995691
502	0.6658837281
503	0.665776709
504	0.6656488405
505	0.6655480687
506	0.6654432459
507	0.6653391405
508	0.665182805
509	0.6649854126
510	0.6648747483
511	0.6647840932
512	0.6647787804
513	0.6646289006
514	0.664521655
515	0.6644420729
516	0.6643278146
517	0.6641902083
518	0.664036323
519	0.6638305477
520	0.6636996803
521	0.663506998
522	0.6633871321
523	0.6632672935
524	0.6631847876
525	0.6630099993
526	0.6629001101
527	0.6627708517
528	0.6626292376
529	0.6625197521
530	0.6623732436
531	0.6622369761
532	0.6621338906
533	0.6619958282
534	0.6619414164
535	0.6617543465
536	0.6615617373
537	0.6615103162
538	0.6613514513
539	0.6611244072
540	0.6610119146
541	0.6608543831
542	0.6607660091
543	0.6606761451
544	0.6605168579
545	0.6604466262
546	0.6603200672
547	0.6601656496
548	0.6600242903
549	0.6598943699
550	0.6597220157
551	0.6595868538
552	0.6595002349
553	0.6593602141
554	0.6592025594
555	0.6590760578
556	0.6589357739
557	0.6588017848
558	0.6586146633
559	0.6584169828
560	0.6582505469
561	0.6581213398
562	0.6579815945
563	0.6578145289
564	0.657629255
565	0.6575197785
566	0.6573975086
567	0.6572555292
568	0.6571548326
569	0.6570271192
570	0.6569458365
571	0.6569398656
572	0.6567368977
573	0.6566280905
574	0.6565510222
575	0.6564154553
576	0.6562686257
577	0.6561488761
578	0.656031412
579	0.6559385173
580	0.655862187
581	0.655850151
582	0.6556853225
583	0.6555938684
584	0.6554694266
585	0.655356336
586	0.6552582536
587	0.655088158
588	0.6549571591
589	0.6549307176
590	0.654837965
591	0.6547604872
592	0.6546082888
