iter	Passed	Remaining
417	2471	9353
418	2476	9345
419	2482	9338
420	2487	9330
421	2493	9322
422	2498	9315
423	2503	9307
424	2509	9299
425	2514	9292
426	2520	9283
427	2525	9276
428	2531	9269
429	2536	9262
430	2542	9254
431	2547	9246
432	2553	9239
433	2558	9232
434	2564	9225
435	2569	9217
436	2574	9209
437	2580	9202
438	2585	9194
439	2591	9187
440	2596	9179
441	2603	9175
442	2608	9167
443	2613	9160
444	2619	9152
445	2627	9153
446	2632	9146
447	2638	9138
448	2643	9131
449	2648	9123
450	2654	9115
451	2659	9108
452	2665	9101
453	2670	9095
454	2676	9087
455	2681	9080
456	2687	9073
457	2692	9065
458	2697	9057
459	2703	9050
460	2708	9042
461	2714	9034
462	2719	9026
463	2724	9019
464	2729	9011
465	2735	9004
466	2740	8997
467	2746	8989
468	2751	8980
469	2756	8972
470	2761	8966
471	2767	8959
472	2773	8953
473	2779	8946
474	2784	8940
475	2790	8934
476	2795	8926
477	2801	8919
478	2806	8912
479	2812	8905
480	2818	8899
481	2823	8892
482	2828	8884
483	2837	8886
484	2849	8900
485	2862	8916
486	2874	8929
487	2882	8932
488	2890	8931
489	2896	8925
490	2901	8918
491	2907	8911
492	2912	8903
493	2918	8896
494	2923	8889
495	2928	8881
496	2934	8874
497	2939	8867
498	2945	8860
499	2951	8853
500	2956	8846
501	2962	8839
502	2967	8832
503	2973	8825
504	2978	8818
505	2984	8810
506	2989	8803
507	2994	8795
508	3000	8788
509	3005	8781
510	3011	8774
511	3016	8766
512	3022	8761
513	3039	8787
514	3057	8817
515	3070	8830
516	3080	8837
517	3093	8849
518	3110	8876
519	3132	8916
520	3161	8975
521	3192	9038
522	3213	9073
523	3241	9130
524	3271	9190
525	3302	9253
526	3331	9312
527	3354	9351
528	3377	9391
529	3406	9449
530	3437	9510
531	3468	9571
532	3497	9627
533	3528	9685
534	3557	9742
535	3588	9802
536	3618	9858
537	3649	9916
538	3679	9973
539	3709	10029
540	3739	10086
541	3770	10142
542	3799	10194
543	3828	10246
544	3858	10300
545	3891	10362
546	3925	10428
547	3955	10480
548	3985	10533
549	4015	10586
550	4045	10639
551	4074	10688
552	4105	10741
553	4130	10781
554	4160	10832
555	4190	10882
556	4219	10932
557	4250	10983
558	4280	11033
559	4310	11082
560	4339	11131
561	4370	11181
562	4400	11230
563	4421	11258
564	4434	11263
565	4448	11269
566	4460	11272
567	4472	11274
568	4495	11305
569	4515	11327
570	4525	11324
571	4534	11321
572	4544	11317
573	4558	11323
574	4570	11327
575	4583	11331
576	4599	11343
577	4615	11355
578	4627	11355
579	4639	11358
580	4649	11354
581	4658	11349
582	4675	11363
583	4690	11373
584	4703	11376
585	4714	11376
586	4726	11376
587	4738	11378
588	4750	11379
589	4760	11377
590	4771	11376
591	4783	11376
592	4803	11398
593	4819	11407
594	4829	11404
595	4839	11399
596	4866	11436
597	4883	11448
598	4896	11453
599	4906	11447
600	4920	11454
601	4933	11457
602	4950	11468
603	4970	11489
604	4984	11493
605	4996	11493
606	5007	11492
607	5018	11490
608	5030	11490
609	5042	11490
610	5072	11530
611	5106	11582
612	5142	11635
613	5177	11686
614	5210	11734
615	5243	11779
616	5275	11824
617	5308	11870
618	5343	11921
619	5363	11937
620	5369	11924
621	5376	11912
622	5383	11899
623	5390	11886
624	5397	11873
625	5404	11861
626	5410	11848
627	5417	11835
628	5424	11822
629	5430	11809
630	5438	11798
631	5444	11786
632	5451	11772
633	5457	11759
634	5464	11746
635	5471	11733
636	5478	11722
637	5485	11709
638	5492	11697
639	5499	11685
640	5505	11672
641	5512	11659
642	5518	11646
643	5524	11632
644	5530	11617
645	5535	11602
646	5541	11588
647	5547	11573
648	5552	11559
649	5558	11544
650	5564	11530
651	5570	11515
652	5575	11501
653	5580	11486
654	5587	11473
655	5592	11458
656	5598	11444
657	5604	11430
658	5610	11416
659	5615	11401
660	5621	11388
661	5627	11375
662	5636	11365
663	5641	11351
664	5647	11338
665	5653	11323
666	5659	11309
667	5664	11294
668	5669	11280
669	5675	11265
670	5680	11251
671	5686	11237
672	5692	11223
673	5697	11209
674	5703	11195
675	5709	11181
676	5714	11168
677	5720	11154
678	5725	11139
679	5731	11125
680	5736	11110
681	5741	11096
682	5747	11083
683	5753	11069
684	5759	11056
685	5765	11043
686	5771	11029
687	5776	11015
688	5781	11001
689	5787	10987
690	5793	10974
